"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"Pop_AgeGroups","0150000","Mobile","12054","50514","62709","36977","29831","6175","7385","7353","7166","6296","5411","12054","11290","11529","12564","15131","15006","14002","12145","10612","10944","12596","12298","12083","10070","6957","12804"
"Pop_AgeGroups","0151000","Montgomery","13837","56823","66553","36627","26921","6539","8302","8132","7423","6777","6527","13837","14092","12932","13502","16297","15570","14144","12487","12727","11625","12664","12992","10971","9227","6117","11577"
"Pop_AgeGroups","0135896","Hoover","5614","20642","29708","15575","12611","2672","2144","3501","3212","3223","3101","5614","6081","5594","5127","3840","6175","6077","5964","5989","5503","5425","5358","4792","4473","2904","5234"
"Pop_AgeGroups","0177256","Tuscaloosa","5409","37503","28414","14813","11234","7269","7101","3911","2999","2711","2541","5409","4796","4911","12639","15157","7864","6019","5196","4841","4494","5127","4804","4882","3524","2777","4933"
"Pop_AgeGroups","0107000","Birmingham","13799","53971","72517","42655","29323","5766","9915","10691","7809","6706","5763","13799","12632","10516","11952","18871","20692","15716","12937","11295","11877","13985","15085","13585","9668","6779","12876"
"Pop_AgeGroups","0137000","Huntsville","12516","49043","62572","37350","29020","5673","8390","8055","6373","5776","5780","12516","10972","10717","11924","15430","15815","13343","11124","10732","11558","13131","13324","10895","9121","6781","13118"
"Pop_AgeGroups","0203000","Anchorage","22025","83890","108419","55743","28148","8924","11037","13057","11818","9896","8989","22025","20097","19953","18751","25089","27283","24367","21038","17205","18526","19950","20333","15460","11256","7355","9537"
"Pop_AgeGroups","0427400","Gilbert","18469","70918","86211","36458","20120","9149","5877","7142","9877","9211","9500","18469","19698","21060","18296","11864","13451","18933","18246","18377","17204","15094","11637","9727","8058","5524","6538"
"Pop_AgeGroups","0446000","Mesa","32756","130126","158222","82310","75903","15615","17226","18134","15680","14547","14701","32756","33653","31324","31518","33631","38389","32294","29788","29162","28589","29572","27527","25211","23203","18059","34641"
"Pop_AgeGroups","0477000","Tucson","32549","166341","167860","91781","72374","19553","30357","18853","17491","15385","14270","32549","31947","30984","40054","63356","40693","36901","31657","29413","29196","31077","31177","29527","23384","17465","31525"
"Pop_AgeGroups","0427820","Glendale","17716","70430","81585","45348","26464","9357","8523","9611","8250","7220","8091","17716","16949","17276","18811","17394","19392","16477","14702","15563","15451","17025","15234","13089","9842","6088","10534"
"Pop_AgeGroups","0454050","Peoria","10661","42697","50856","31405","25764","4978","4687","4845","5090","4752","5813","10661","11000","11782","10603","9312","9394","9965","8747","11661","11089","10973","10632","9800","8167","6347","11250"
"Pop_AgeGroups","0455000","Phoenix","118568","461530","571112","266101","157110","53817","57343","62033","60432","55469","53153","118568","119946","115691","109046","116847","125721","122228","110376","108183","104604","100018","88771","77312","57201","38865","61044"
"Pop_AgeGroups","0465000","Scottsdale","9412","45447","74408","54923","55093","4376","6520","8324","6407","6724","7786","9412","10427","11997","10741","12282","16673","14051","13338","14467","15879","18822","18886","17215","17424","13688","23981"
"Pop_AgeGroups","0485540","Yuma","6947","30276","29338","13759","13531","3133","3679","3561","2942","2295","2919","6947","7343","6790","6786","9357","7608","6403","5025","5355","4947","4939","4640","4180","4038","3136","6357"
"Pop_AgeGroups","0471510","Surprise","7667","31970","40472","20279","29146","3572","3000","3702","4098","4683","4862","7667","8765","9874","7348","5983","6528","7650","8663","9409","8222","6686","6811","6782","8794","8642","11710"
