,V1,V2,V3,V4,V5,V6,V7
Pop_AgeGroups,150000,Mobile,12054,50514,62709,36977,29831
Pop_AgeGroups,151000,Montgomery,13837,56823,66553,36627,26921
Pop_AgeGroups,135896,Hoover,5614,20642,29708,15575,12611
Pop_AgeGroups,177256,Tuscaloosa,5409,37503,28414,14813,11234
Pop_AgeGroups,107000,Birmingham,13799,53971,72517,42655,29323
Pop_AgeGroups,137000,Huntsville,12516,49043,62572,37350,29020
Pop_AgeGroups,203000,Anchorage,22025,83890,108419,55743,28148
Pop_AgeGroups,427400,Gilbert,18469,70918,86211,36458,20120
Pop_AgeGroups,446000,Mesa,32756,130126,158222,82310,75903
Pop_AgeGroups,477000,Tucson,32549,166341,167860,91781,72374
Pop_AgeGroups,427820,Glendale,17716,70430,81585,45348,26464
Pop_AgeGroups,454050,Peoria,10661,42697,50856,31405,25764
Pop_AgeGroups,455000,Phoenix,118568,461530,571112,266101,157110
Pop_AgeGroups,465000,Scottsdale,9412,45447,74408,54923,55093
Pop_AgeGroups,485540,Yuma,6947,30276,29338,13759,13531
Pop_AgeGroups,471510,Surprise,7667,31970,40472,20279,29146
Pop_AgeGroups,404720,Avondale,6232,26307,30566,12441,6044
Pop_AgeGroups,412000,Chandler,17277,67489,91872,44710,23812
Pop_AgeGroups,473000,Tempe,7825,64043,64015,25007,17449
Pop_AgeGroups,535710,Jonesboro,5123,23217,24384,11591,9266
Pop_AgeGroups,541000,Little Rock,12861,51798,68814,38133,26174
Pop_AgeGroups,524550,Fort Smith,6342,24130,28512,16366,12187
Pop_AgeGroups,523290,Fayetteville,5179,32058,26789,10455,7408
Pop_AgeGroups,566080,Springdale,7275,24275,27645,10947,7110
Pop_AgeGroups,682590,Victorville,10745,40188,41708,18101,10979
Pop_AgeGroups,633434,Hesperia,7396,31784,29123,16152,8735
Pop_AgeGroups,602364,Apple Valley,5201,20843,19925,13603,12344
Pop_AgeGroups,633182,Hemet,5202,23785,22625,13709,18283
Pop_AgeGroups,666000,San Diego,87189,359880,539324,237651,166922
Pop_AgeGroups,621712,El Cajon,7909,28660,35640,18921,12184
Pop_AgeGroups,613392,Chula Vista,17706,77487,93318,44050,31540
Pop_AgeGroups,681344,Upland,4810,19724,25067,15421,11133
Pop_AgeGroups,653896,Ontario,12070,54237,62893,27115,14726
Pop_AgeGroups,613210,Chino,5213,20913,34477,16260,8746
Pop_AgeGroups,648256,Mission Viejo,4660,22351,29086,22541,17897
Pop_AgeGroups,639496,Lake Forest,4721,20254,29201,17469,10167
Pop_AgeGroups,616350,Corona,10747,47373,60209,29469,15787
Pop_AgeGroups,646842,Menifee,5804,22607,26792,15349,16268
Pop_AgeGroups,656700,Perris,6037,28326,26318,9776,4554
Pop_AgeGroups,650076,Murrieta,7893,34997,36097,18338,12718
Pop_AgeGroups,665000,San Bernardino,18269,73982,70885,33519,18597
Pop_AgeGroups,660466,Rialto,8028,34696,35511,15878,8595
Pop_AgeGroups,659962,Redlands,5190,19755,23027,12514,10279
Pop_AgeGroups,659451,Rancho Cucamonga,10807,49025,61976,34734,18031
Pop_AgeGroups,624680,Fontana,14728,70685,75981,30782,14910
Pop_AgeGroups,662000,Riverside,21326,105129,111160,51741,32214
Pop_AgeGroups,649270,Moreno Valley,15436,68547,71738,31700,16270
Pop_AgeGroups,682996,Vista,6697,29271,37208,16678,9642
Pop_AgeGroups,668196,San Marcos,6408,27467,33911,14526,11181
Pop_AgeGroups,653322,Oceanside,11105,44065,59533,33647,26461
Pop_AgeGroups,611194,Carlsbad,6776,26929,37306,24054,18082
Pop_AgeGroups,678120,Temecula,7175,34383,37698,20036,11430
Pop_AgeGroups,622804,Escondido,12143,42260,54672,25313,16395
Pop_AgeGroups,636448,Indio,6083,23704,28714,13944,14422
Pop_AgeGroups,665042,San Buenaventura (Ventura),7543,26441,35872,23129,17168
Pop_AgeGroups,669088,Santa Clarita,13285,59867,70427,42556,23354
Pop_AgeGroups,678582,Thousand Oaks,6249,32832,37937,28765,23126
Pop_AgeGroups,672016,Simi Valley,6801,32437,42319,27466,17523
Pop_AgeGroups,654652,Oxnard,15840,65225,74273,31772,19622
Pop_AgeGroups,670000,Santa Monica,4344,15243,39993,17084,15831
Pop_AgeGroups,669196,Santa Maria,10382,35062,34946,14086,10315
Pop_AgeGroups,614218,Clovis,7332,31327,34824,17968,12960
Pop_AgeGroups,682954,Visalia,11731,40209,42326,20840,14941
Pop_AgeGroups,627000,Fresno,45329,164789,175194,79513,54212
Pop_AgeGroups,669070,Santa Barbara,4700,23394,30640,16582,16127
Pop_AgeGroups,603526,Bakersfield,32088,120906,126832,57768,35086
Pop_AgeGroups,655156,Palmdale,13396,51435,50656,28661,13210
Pop_AgeGroups,640130,Lancaster,12292,49490,55007,27865,15459
Pop_AgeGroups,644574,Lynwood,5854,23847,26666,10043,4940
Pop_AgeGroups,644000,Los Angeles,243819,1020431,1537294,685394,462838
Pop_AgeGroups,636546,Inglewood,8309,30017,39987,19971,12722
Pop_AgeGroups,630000,Glendale,10501,40579,72930,42841,32899
Pop_AgeGroups,608954,Burbank,6010,22120,39989,20863,15783
Pop_AgeGroups,656000,Pasadena,9009,29248,55625,25428,21921
Pop_AgeGroups,684550,Westminster,4023,22378,31524,18234,15626
Pop_AgeGroups,636000,Huntington Beach,9677,45013,69708,42249,33768
Pop_AgeGroups,608786,Buena Park,5536,22263,29559,15608,10054
Pop_AgeGroups,652526,Norwalk,7337,31056,37222,18662,12127
Pop_AgeGroups,643000,Long Beach,32966,128306,176045,82797,50375
Pop_AgeGroups,639892,Lakewood,5117,20480,28617,16350,10542
Pop_AgeGroups,604982,Bellflower,5490,23380,27146,13381,8455
Pop_AgeGroups,680000,Torrance,8372,33744,48869,31957,24248
Pop_AgeGroups,660018,Redondo Beach,4293,13803,27318,14358,8178
Pop_AgeGroups,632548,Hawthorne,7050,24275,34468,13795,7837
Pop_AgeGroups,615044,Compton,7368,33669,33157,15096,8557
Pop_AgeGroups,611530,Carson,5272,24491,30459,17933,14772
Pop_AgeGroups,685292,Whittier,5352,24475,29844,15424,11757
Pop_AgeGroups,673080,South Gate,6356,30964,34091,15356,8653
Pop_AgeGroups,622230,El Monte,6729,33114,40736,20750,14629
Pop_AgeGroups,619766,Downey,7450,32598,41213,19486,12611
Pop_AgeGroups,600884,Alhambra,4285,18438,30575,17646,14224
Pop_AgeGroups,613214,Chino Hills,4339,21658,27255,16720,8053
Pop_AgeGroups,684200,West Covina,6310,28030,36885,21297,15264
Pop_AgeGroups,658072,Pomona,11577,48563,52723,25141,14362
Pop_AgeGroups,603666,Baldwin Park,4935,22295,27664,13165,8513
Pop_AgeGroups,680854,Tustin,5881,21321,31071,13739,7995
Pop_AgeGroups,669000,Santa Ana,25555,105725,124826,51259,27128
Pop_AgeGroups,653980,Orange,8654,39317,50955,25012,16351
Pop_AgeGroups,651182,Newport Beach,3459,17617,26040,20814,18863
Pop_AgeGroups,636770,Irvine,15754,75059,98195,42326,25543
Pop_AgeGroups,629000,Garden Grove,9453,47691,60341,34230,23097
Pop_AgeGroups,628000,Fullerton,8664,40085,48756,24741,17730
Pop_AgeGroups,616532,Costa Mesa,6620,27509,47784,19196,11821
Pop_AgeGroups,602000,Anaheim,23679,99839,128114,59520,37855
Pop_AgeGroups,648354,Modesto,14802,59454,68304,39137,28469
Pop_AgeGroups,680812,Turlock,4508,21645,23928,12265,9560
Pop_AgeGroups,646898,Merced,6802,28673,26642,11968,7923
Pop_AgeGroups,624638,Folsom,4518,18475,27577,15926,9401
Pop_AgeGroups,659920,Redding,5353,23902,27241,17644,17096
Pop_AgeGroups,650258,Napa,4704,21022,26984,15166,11846
Pop_AgeGroups,670098,Santa Rosa,10475,42878,60084,33519,27288
Pop_AgeGroups,681666,Vallejo,7801,29411,40223,25449,17715
Pop_AgeGroups,681554,Vacaville,5760,25528,33328,19552,12750
Pop_AgeGroups,623182,Fairfield,7494,32413,39042,20454,13387
Pop_AgeGroups,660620,Richmond,6933,28328,40726,19469,13397
Pop_AgeGroups,606000,Berkeley,4727,40587,40872,17724,16269
Pop_AgeGroups,600562,Alameda,4726,15694,30012,16218,11596
Pop_AgeGroups,667000,San Francisco,39206,141983,396311,158379,128384
Pop_AgeGroups,616000,Concord,8594,28838,46543,25980,18205
Pop_AgeGroups,653000,Oakland,25819,92300,172461,74480,52382
Pop_AgeGroups,668378,San Ramon,4515,22065,27999,13319,7150
Pop_AgeGroups,668252,San Mateo,7043,21768,40675,18291,15723
Pop_AgeGroups,617918,Daly City,4865,23817,38644,21830,17324
Pop_AgeGroups,626000,Fremont,14824,54253,90411,44267,27209
Pop_AgeGroups,649670,Mountain View,5124,16438,36739,13253,8522
Pop_AgeGroups,660102,Redwood City,5778,19093,33955,15219,10323
Pop_AgeGroups,681204,Union City,4420,16303,28349,14044,11238
Pop_AgeGroups,668084,San Leandro,4825,20904,31254,19474,13453
Pop_AgeGroups,633000,Hayward,9738,40608,60401,28493,17677
Pop_AgeGroups,677000,Sunnyvale,11990,30218,67155,24050,18152
Pop_AgeGroups,669084,Santa Clara,8633,31410,52649,18548,13395
Pop_AgeGroups,664224,Salinas,14036,51468,55601,22527,13179
Pop_AgeGroups,675000,Stockton,23382,95109,99408,50675,35784
Pop_AgeGroups,645484,Manteca,5993,21809,25504,13205,8803
Pop_AgeGroups,622020,Elk Grove,10632,49583,56212,30929,18872
Pop_AgeGroups,680238,Tracy,5619,28907,30606,15282,7199
Pop_AgeGroups,662938,Roseville,8171,34749,43929,23283,20573
Pop_AgeGroups,664000,Sacramento,33455,130047,181623,84729,59796
Pop_AgeGroups,613588,Citrus Heights,5176,20451,29931,17775,13285
Pop_AgeGroups,647766,Milpitas,4734,17590,30361,13885,8928
Pop_AgeGroups,657792,Pleasanton,3508,21610,25579,17676,10968
Pop_AgeGroups,602252,Antioch,6989,32948,36415,21762,11912
Pop_AgeGroups,668000,San Jose,65909,262241,384775,188777,121329
Pop_AgeGroups,641992,Livermore,6046,21170,29967,19949,11100
Pop_AgeGroups,613014,Chico,5059,33168,28110,13101,11222
Pop_AgeGroups,843000,Lakewood,7792,35700,52886,30915,24118
Pop_AgeGroups,812815,Centennial,6136,26732,35028,24704,15848
Pop_AgeGroups,816000,Colorado Springs,29952,125997,154734,82049,57268
Pop_AgeGroups,820000,Denver,43686,151653,299635,107534,75959
Pop_AgeGroups,846465,Loveland,4038,18002,24113,14784,13188
Pop_AgeGroups,827425,Fort Collins,8549,58328,52791,23330,16152
Pop_AgeGroups,832155,Greeley,6969,34565,32153,15321,11752
Pop_AgeGroups,803455,Arvada,7066,26058,38853,24829,18514
Pop_AgeGroups,845970,Longmont,5771,24945,31624,17253,12137
Pop_AgeGroups,807850,Boulder,3569,42087,34226,15259,11130
Pop_AgeGroups,877290,Thornton,10561,37560,50393,22365,11431
Pop_AgeGroups,883835,Westminster,6956,28312,41370,21783,13474
Pop_AgeGroups,862000,Pueblo,6957,28732,34080,20557,18796
Pop_AgeGroups,804000,Aurora,25761,99612,134050,60468,37432
Pop_AgeGroups,937000,Hartford,8202,41588,42170,19560,12870
Pop_AgeGroups,908000,Bridgeport,10004,42647,53167,26011,15757
Pop_AgeGroups,980000,Waterbury,7619,31335,36452,19767,14077
Pop_AgeGroups,918430,Danbury,5408,21494,30761,15562,11348
Pop_AgeGroups,973000,Stamford,7502,30434,49331,23779,17805
Pop_AgeGroups,955990,Norwalk,5162,21148,30793,18877,12557
Pop_AgeGroups,950370,New Britain,4471,20593,25214,13184,9607
Pop_AgeGroups,952000,New Haven,8111,41726,48828,18536,13683
Pop_AgeGroups,1077580,Wilmington,4799,18174,25994,12903,9406
Pop_AgeGroups,1270600,Tallahassee,9338,78417,57609,25028,18071
Pop_AgeGroups,1235000,Jacksonville,59707,223740,306662,166645,110559
Pop_AgeGroups,1225175,Gainesville,4880,56318,38458,17150,12588
Pop_AgeGroups,1254200,Palm Coast,3545,18188,21548,16809,22266
Pop_AgeGroups,1217200,Deltona,5228,23170,28199,17693,13715
Pop_AgeGroups,1253000,Orlando,19117,64917,114958,42359,28063
Pop_AgeGroups,1239425,Largo,3275,15790,24366,17927,21075
Pop_AgeGroups,1212875,Clearwater,6181,22825,35722,23946,24120
Pop_AgeGroups,1263000,St. Petersburg,12417,55989,85314,57063,45248
Pop_AgeGroups,1271000,Tampa,22966,98086,134776,67379,44880
Pop_AgeGroups,1238250,Lakeland,5721,26115,30639,18867,22823
Pop_AgeGroups,1210275,Cape Coral,7816,38412,50918,38538,37995
Pop_AgeGroups,1254000,Palm Bay,6493,26932,32585,23443,18349
Pop_AgeGroups,1243975,Melbourne,4253,16563,23183,17866,17775
Pop_AgeGroups,1258715,Port St. Lucie,8661,45136,55793,35161,34027
Pop_AgeGroups,1257425,Plantation,5889,19842,32916,19462,14017
Pop_AgeGroups,1232000,Hollywood,8757,32584,51644,31816,24949
Pop_AgeGroups,1207300,Boca Raton,3107,21410,26022,20304,23121
Pop_AgeGroups,1255775,Pembroke Pines,9060,40768,56745,32503,27454
Pop_AgeGroups,1245975,Miramar,8317,37723,51965,25372,13038
Pop_AgeGroups,1216475,Davie,5318,26886,36686,20178,12475
Pop_AgeGroups,1230000,Hialeah,11352,48879,80983,48726,47583
Pop_AgeGroups,1245060,Miami Gardens,6659,31790,39208,21486,14044
Pop_AgeGroups,1245025,Miami Beach,4807,14383,38932,19123,14942
Pop_AgeGroups,1245000,Miami,27322,87765,172403,82105,73412
Pop_AgeGroups,1269700,Sunrise,6085,22407,31597,17565,14618
Pop_AgeGroups,1276600,West Palm Beach,5947,24715,36671,19722,19750
Pop_AgeGroups,1207875,Boynton Beach,4272,14973,25234,14447,15557
Pop_AgeGroups,1239550,Lauderhill,5266,19962,22759,13278,9698
Pop_AgeGroups,1224000,Fort Lauderdale,9221,34751,63140,40520,29543
Pop_AgeGroups,1216725,Deerfield Beach,4445,16974,25530,14983,17536
Pop_AgeGroups,1214400,Coral Springs,8542,37360,45098,25476,13634
Pop_AgeGroups,1258050,Pompano Beach,6116,23161,34916,22956,20393
Pop_AgeGroups,1369000,Savannah,9484,43395,49165,24490,18560
Pop_AgeGroups,1304204,Augusta,13775,55769,65406,36831,25118
Pop_AgeGroups,1301052,Albany,5248,23365,23197,13117,9965
Pop_AgeGroups,1380508,Warner Robins,5816,21411,27471,11867,7558
Pop_AgeGroups,1303440,Athens,6779,48291,39340,15846,12036
Pop_AgeGroups,1342425,Johns Creek,4426,24151,28607,18436,7777
Pop_AgeGroups,1368516,Sandy Springs,6249,23196,43033,18583,12642
Pop_AgeGroups,1367284,Roswell,6981,23304,33587,19478,10889
Pop_AgeGroups,1304000,Atlanta,26852,123745,190213,72007,52413
Pop_AgeGroups,1319000,Columbus,14793,55972,68647,34968,24267
Pop_AgeGroups,1656260,Nampa,6962,29431,29494,13000,10689
Pop_AgeGroups,1652120,Meridian,7014,25777,31994,16070,11062
Pop_AgeGroups,1608830,Boise City,12740,60484,77908,40876,28851
Pop_AgeGroups,1779293,Waukegan,6604,28455,30959,14121,7860
